Price,Close,High,Low,Open,Volume
Ticker,TITAN.NS,TITAN.NS,TITAN.NS,TITAN.NS,TITAN.NS
Date,,,,,
2021-02-01,1478.5531005859375,1485.4458922795473,1401.8461518411898,1415.7794619477074,2215933
2021-02-02,1462.6995849609375,1512.4754359630683,1459.3024714174917,1491.7970608620108,1974202
2021-02-03,1501.7916259765625,1505.5826373542113,1469.1493099623829,1469.1493099623829,1853072
2021-02-04,1490.41845703125,1516.414152252877,1465.309001912777,1506.567307108378,2728965
2021-02-05,1486.33203125,1515.380225188351,1481.4578908558985,1495.2927567271759,1344007
2021-02-08,1518.088134765625,1540.8836063201318,1486.9229646700978,1490.8124205933266,2683198
2021-02-09,1536.009521484375,1560.3804651741914,1519.4176101235805,1524.2917507812413,2364475
2021-02-10,1539.2095947265625,1563.6789804241596,1502.6285416418561,1551.27197980855,2125469
2021-02-11,1501.348388671875,1551.7643065073541,1488.1044304071097,1528.2303232369459,5970196
2021-02-12,1471.315673828125,1513.1647691173152,1468.1647312043003,1513.1647691173152,3284441
2021-02-15,1462.010498046875,1495.243604165132,1454.133021041066,1482.9350463435553,3156535
2021-02-16,1449.3079833984375,1481.950301454004,1438.6241796839201,1469.297128568119,3090249
2021-02-17,1438.033447265625,1460.2872957021202,1427.3003608362935,1446.8956088713694,2096959
2021-02-18,1411.0528564453125,1449.3571066653092,1407.1141185347883,1442.6612041371213,2686046
2021-02-19,1403.7171630859375,1422.7707858314895,1391.16243458373,1412.0376997776866,2543997
2021-02-22,1383.72802734375,1411.1514692787089,1374.6196948385518,1403.1755480980921,1931189
2021-02-23,1402.240234375,1414.9425702941624,1378.706247024259,1393.328790145706,1871135
2021-02-24,1429.6143798828125,1451.425168841444,1402.2402188324477,1402.2402188324477,1143204
2021-02-25,1412.480712890625,1440.54422272901,1408.591256975781,1437.6394513698988,1967386
2021-02-26,1385.352783203125,1410.0190602311768,1381.610933655185,1398.252127380356,2715597
2021-03-01,1429.9097900390625,1443.5476479388515,1394.90420383855,1399.7291825000527,1962042
2021-03-02,1448.61865234375,1451.4249791792186,1427.7925507529626,1446.5015565904152,1293306
2021-03-03,1452.0157470703125,1458.9578209110396,1443.6952110831458,1449.4555913973954,1227772
2021-03-04,1447.978759765625,1464.8661253426562,1428.3343493234377,1429.7620939678256,1822476
2021-03-05,1451.621826171875,1470.1339426526206,1439.8056122992484,1442.5627769498253,1954113
2021-03-08,1434.4390869140625,1458.5638561808514,1428.7771512698162,1452.4095783066705,1060584
2021-03-09,1434.5870361328125,1456.250097609948,1422.8692652027557,1447.4863805176824,941590
2021-03-10,1448.7171630859375,1458.3178375736777,1440.5935154424649,1447.486307382381,1257628
2021-03-12,1459.7950439453125,1484.707614529374,1455.856305209541,1457.3333322354554,2631081
2021-03-15,1469.34619140625,1473.9742807667376,1448.4709276804138,1473.9742807667376,1482287
2021-03-16,1477.9622802734375,1507.5521001429597,1473.9743798232969,1481.9503009243333,3191850
2021-03-17,1449.9974365234375,1476.5839222033565,1447.535724886408,1471.3650454525484,1195023
